Name,League,Year,Club,Matches Played,Starts,Minutes,Goals,Assists,Penalty Goals,Penalty Attempts,xGoals,non-penalty xGoals,xAssists
Lucas Leiva,2019-2020,1. Serie A,Lazio,25,23,"1,808",0,1,0,0,0.5,0.5,1.7
Lucas Leiva,2020-2021,1. Serie A,Lazio,32,30,"2,131",0,0,0,0,0.4,0.4,0.4
Lucas Leiva,2021-2022,1. Serie A,Lazio,35,19,"1,697",0,0,0,0,0.1,0.1,0.3
Lucas Leiva,2022,2. Série B,Grêmio,17,14,949,3,0,0,0,,,
Lucas Torreira,2014-2015,2. Serie B,Pescara,0,0,,,,,,,,
Lucas Torreira,2015-2016,2. Serie B,Pescara,26,20,"1,760",3,1,0,0,,,
Lucas Torreira,2016-2017,1. Serie A,Sampdoria,35,35,"3,044",0,1,0,0,,,
Lucas Torreira,2017-2018,1. Serie A,Sampdoria,36,36,"3,180",4,1,0,0,1.4,1.4,2.8
Lucas Torreira,2018-2019,1. Premier League,Arsenal,34,24,"2,382",2,2,0,0,1.5,1.5,1.2
Lucas Torreira,2019-2020,1. Premier League,Arsenal,29,17,"1,512",1,1,0,0,1.4,1.4,0.8
Lucas Torreira,2020-2021,1. La Liga,Atlético Madrid,19,3,518,1,0,0,0,0.1,0.1,0.5
Lucas Torreira,2021-2022,1. Serie A,Fiorentina,31,26,"2,195",5,1,0,0,5.3,5.0,2.1
Lucas Torreira,2022-2023,1. Süper Lig,Galatasaray,31,28,"2,406",0,0,0,0,,,
Lucas Torreira,2023-2024,1. Süper Lig,Galatasaray,35,35,"2,972",1,2,0,0,,,
Lucas Torreira,2024-2025,1. Süper Lig,Galatasaray,12,12,"1,022",0,4,0,0,,,
Luigi Sepe,2008-2009,1. Serie A,Napoli,1,0,59,0,0,0,0,,,
Luigi Sepe,,,,,,,,,,,,,
Luigi Sepe,2013-2014,2. Serie B,Virtus Lanciano,39,39,"3,510",0,0,0,0,,,
Luigi Sepe,2014-2015,1. Serie A,Empoli,31,31,"2,790",0,0,0,0,,,
Luigi Sepe,2015-2016,1. Serie A,Fiorentina,0,0,,,,,,,,
Luigi Sepe,2016-2017,1. Serie A,Napoli,0,0,,,,,,,,
Luigi Sepe,2017-2018,1. Serie A,Napoli,1,1,90,0,0,0,0,0.0,0.0,0.0
Luigi Sepe,2018-2019,1. Serie A,Parma,37,37,"3,330",0,0,0,0,0.0,0.0,0.1
Luigi Sepe,2019-2020,1. Serie A,Parma,34,34,"3,060",0,0,0,0,0.0,0.0,0.7
Luigi Sepe,2020-2021,1. Serie A,Parma,36,36,"3,240",0,0,0,0,0.0,0.0,0.0
Luigi Sepe,2021-2022,1. Serie A,Salernitana,16,16,"1,392",0,0,0,0,0.0,0.0,0.0
Luigi Sepe,2022-2023,1. Serie A,Salernitana,17,17,"1,530",0,0,0,0,0.0,0.0,0.0
Luigi Sepe,2023-2024,1. Serie A,Lazio,0,0,,,,,,,,
Luigi Sepe,2024-2025,2. Serie B,Salernitana,11,11,990,0,0,0,0,0.0,0.0,0.0
Luis Alberto,2010-2011,1. La Liga,Sevilla,1,0,29,0,0,0,0,,,
Luis Alberto,2011-2012,1. La Liga,Sevilla,5,0,85,0,0,0,0,,,
Luis Alberto,2012-2013,2. La Liga 2,Barcelona B,38,33,"3,027",11,16,0,0,,,
Luis Alberto,2013-2014,1. Premier League,Liverpool,9,0,144,0,1,0,0,,,
Luis Alberto,2014-2015,1. La Liga,Málaga,15,6,582,2,1,0,0,,,
